Player,Position,Years_Active,Teams,PPG,RPG,APG,MVP_Count,DPOY_Count,FMVP_Count,ROY_Count,Accolades
James Worthy,F,1983-1994,Lakers,38,17,14,0,0,1,0,Hall of Fame; 7x All Star; 3x NBA Champ; 2x All-NBA; 1982-83 All-Rookie; 1987-88 Finals MVP; NBA 75th Anniv. Team
Jaren Jackson Jr.,F,2019-2026,"Grizzlies, Jazz",44,15,7,0,1,0,0,2x All Star; 2x BLK Champ; 2018-19 All-Rookie; 3x All-Defensive; 2022-23 Def. POY
Jason Kidd,G,1995-2013,"Mavs, Suns, Nets, Knicks",43,19,25,0,0,0,0,Hall of Fame; 10x All Star; 5x AST Champ; 2011 NBA Champ; 6x All-NBA; 1994-95 All-Rookie; 1994-95 ROY; 9x All-Defensive; 2x Sportsmanship; NBA 75th Anniv. Team
Jaylen Brown,F-G,2017-2026,Celtics,50,15,13,0,0,1,0,5x All Star; 2024 NBA Champ; 2x All-NBA; 2016-17 All-Rookie; 2023-24 ECF MVP; 2023-24 Finals MVP
Jerry Lucas,F-C,1964-1974,"CIN, SFW, Knicks",41,40,12,0,0,0,1,Hall of Fame; 7x All Star; 1973 NBA Champ; 5x All-NBA; 1963-64 All-Rookie; 1963-64 ROY; 1964-65 AS MVP; NBA 75th Anniv. Team; 1963-64 MBWA NBA ROY
Jerry West,G,1961-1974,Lakers,63,24,23,0,0,1,0,Hall of Fame; 14x All Star; 1969-70 Scoring Champ; 1971-72 AST Champ; 1972 NBA Champ; 12x All-NBA; 5x All-Defensive; 1968-69 Finals MVP; 1971-72 AS MVP; NBA 75th Anniv. Team; 1971-72 MBWA NBA MVP
Jo Jo White,G,1970-1981,"Celtics, Warriors, KCK",41,13,15,0,0,1,0,Hall of Fame; 7x All Star; 2x NBA Champ; 2x All-NBA; 1969-70 All-Rookie; 1975-76 Finals MVP
Joakim Noah,C,2008-2020,"Bulls, Knicks, Grizzlies, LAC",30,23,14,0,1,0,0,2x All Star; 2013-14 All-NBA; 3x All-Defensive; 2013-14 Def. POY
Joe Dumars,G,1986-1999,Pistons,45,10,15,0,0,1,0,Hall of Fame; 6x All Star; 2x NBA Champ; 3x All-NBA; 1985-86 All-Rookie; 5x All-Defensive; 1988-89 Finals MVP; 1995-96 Sportsmanship
Joel Embiid,C,2017-2026,76ers,70,22,13,1,0,0,0,7x All Star; 2x Scoring Champ; 5x All-NBA; 2016-17 All-Rookie; 3x All-Defensive; 2022-23 MVP
John (Cat) Thompson,F,1965-1966,Celtics,15,13,3,0,0,0,0,Hall of Fame; 2x NBA Champ
John Havlicek,F-G,1963-1978,Celtics,43,20,16,0,0,1,0,Hall of Fame; 13x All Star; 8x NBA Champ; 11x All-NBA; 1962-63 All-Rookie; 8x All-Defensive; 1973-74 Finals MVP; NBA 75th Anniv. Team; 1972-73 MBWA NBA MVP; 1962-63 MBWA NBA ROY
John Stockton,G,1985-2003,Jazz,34,9,28,0,0,0,0,Hall of Fame; 10x All Star; 9x AST Champ; 2x STL Champ; 11x All-NBA; 5x All-Defensive; 1992-93 AS MVP; NBA 75th Anniv. Team
Johnny Moore,G,1981-1990,"Spurs, Nets",30,11,20,0,0,0,0,1981-82 AST Champ
Julius Erving,F-G,1972-1987,"VIR, NYA, 76ers",63,28,12,1,0,0,0,Hall of Fame; 16x All Star; 1983 NBA Champ; 2x ABA Champ; 7x All-NBA; 5x All-ABA; 1971-72 All-Rookie; 4x MVP; 1975-76 All-Defensive; 2x AS MVP; ABA All-Time Team; NBA 75th Anniv. Team; 2x MBWA ABA POY
Kareem Abdul-Jabbar,C,1970-1989,"Bucks, Lakers",55,34,14,6,0,2,1,Hall of Fame; 19x All Star; 2x Scoring Champ; 1975-76 TRB Champ; 4x BLK Champ; 6x NBA Champ; 15x All-NBA; 11x All-Defensive; 1969-70 All-Rookie; 1969-70 ROY; 2x Finals MVP; 6x MVP; NBA 75th Anniv. Team; 2x MBWA NBA MVP; 1969-70 MBWA NBA ROY
Karl Malone,F,1986-2004,"Jazz, Lakers",61,23,10,2,0,0,0,Hall of Fame; 14x All Star; 14x All-NBA; 1985-86 All-Rookie; 4x All-Defensive; 2x AS MVP; 2x MVP; NBA 75th Anniv. Team
