Year,Champion,Runner-Up,MVP,DPOY,Finals MVP,ROY,Scoring Leader,Assists Leader,Rebound Leader
2012,Heat,Thunder,LeBron James,Tyson Chandler,LeBron James,Kyrie Irving,Kevin Durant,Rajon Rondo,Dwight Howard
2013,Heat,Spurs,LeBron James,Marc Gasol,LeBron James,Damian Lillard,Carmelo Anthony,Rajon Rondo,Dwight Howard
2014,Spurs,Heat,Kevin Durant,Joakim Noah,Kawhi Leonard,Michael Carter-Williams,Kevin Durant,Chris Paul,DeAndre Jordan
2015,Warriors,Cavs,Stephen Curry,Kawhi Leonard,Andre Iguodala,Andrew Wiggins,Russell Westbrook,Chris Paul,DeAndre Jordan
2016,Cavs,Warriors,Stephen Curry,Kawhi Leonard,LeBron James,Karl-Anthony Towns,Stephen Curry,Rajon Rondo,Andre Drummond
2017,Warriors,Cavs,Russell Westbrook,Draymond Green,Kevin Durant,Malcolm Brogdon,Russell Westbrook,James Harden,Hassan Whiteside
2018,Warriors,Cavs,James Harden,Rudy Gobert,Kevin Durant,Ben Simmons,James Harden,Russell Westbrook,Andre Drummond
2019,Raptors,Warriors,Giannis Antetokounmpo,Rudy Gobert,Kawhi Leonard,Luka Dončić,James Harden,Russell Westbrook,Andre Drummond
2020,Lakers,Heat,Giannis Antetokounmpo,Giannis Antetokounmpo,LeBron James,Ja Morant,James Harden,LeBron James,Andre Drummond
2021,Bucks,Suns,Nikola Jokić,Rudy Gobert,Giannis Antetokounmpo,LaMelo Ball,Stephen Curry,Russell Westbrook,Clint Capela
2022,Warriors,Celtics,Nikola Jokić,Marcus Smart,Stephen Curry,Scottie Barnes,Joel Embiid,Chris Paul,Rudy Gobert
2023,Nuggets,Heat,Joel Embiid,Jaren Jackson Jr.,Nikola Jokić,Paolo Banchero,Joel Embiid,James Harden,Domantas Sabonis
2024,Celtics,Mavs,Nikola Jokić,Rudy Gobert,Jaylen Brown,Victor Wembanyama,Luka Dončić,Tyrese Haliburton,Domantas Sabonis
2025,Thunder,Pacers,Shai Gilgeous-Alexander,Evan Mobley,Shai Gilgeous-Alexander,Stephon Castle,Shai Gilgeous-Alexander,Trae Young,Domantas Sabonis
2026,Knicks,Spurs,Shai Gilgeous-Alexander,Victor Wembanyama,Jalen Brunson,Cooper Flagg,Luka Dončić,Nikola Jokić,Nikola Jokić
